Date,DOY,Month,Year,Inches,mm
3/9/2008,69,3,2008,0,0
3/10/2008,70,3,2008,0,0
3/11/2008,71,3,2008,0.01,0.254
3/12/2008,72,3,2008,0,0
3/13/2008,73,3,2008,0,0
3/14/2008,74,3,2008,0,0
3/15/2008,75,3,2008,0,0
3/16/2008,76,3,2008,0.01,0.254
3/17/2008,77,3,2008,0.32,8.128
3/18/2008,78,3,2008,0.01,0.254
3/19/2008,79,3,2008,0,0
3/20/2008,80,3,2008,0.06,1.524
3/21/2008,81,3,2008,0.04,1.016
3/22/2008,82,3,2008,0.04,1.016
3/23/2008,83,3,2008,0,0
3/24/2008,84,3,2008,0,0
3/25/2008,85,3,2008,0,0
3/26/2008,86,3,2008,0,0
3/27/2008,87,3,2008,0.31,7.874
3/28/2008,88,3,2008,0.04,1.016
3/29/2008,89,3,2008,0.01,0.254
3/30/2008,90,3,2008,0.02,0.508
3/31/2008,91,3,2008,0.83,21.082
4/1/2008,92,4,2008,0,0
4/2/2008,93,4,2008,0,0
4/3/2008,94,4,2008,0.23,5.842
4/4/2008,95,4,2008,0,0
4/5/2008,96,4,2008,0,0
4/6/2008,97,4,2008,0.02,0.508
4/7/2008,98,4,2008,0,0
4/8/2008,99,4,2008,0.02,0.508
4/9/2008,100,4,2008,0,0
4/10/2008,101,4,2008,0.76,19.304
4/11/2008,102,4,2008,0.08,2.032
4/12/2008,103,4,2008,0.05,1.27
4/13/2008,104,4,2008,0,0
4/14/2008,105,4,2008,0,0
4/15/2008,106,4,2008,0,0
4/16/2008,107,4,2008,0,0
4/17/2008,108,4,2008,0.56,14.224
4/18/2008,109,4,2008,0.2,5.08
4/19/2008,110,4,2008,0,0
4/20/2008,111,4,2008,0,0
4/21/2008,112,4,2008,0.02,0.508
4/22/2008,113,4,2008,0.59,14.986
4/23/2008,114,4,2008,0.05,1.27
4/24/2008,115,4,2008,0.31,7.874
4/25/2008,116,4,2008,0.95,24.13
4/26/2008,117,4,2008,0,0
4/27/2008,118,4,2008,0,0
4/28/2008,119,4,2008,0,0
4/29/2008,120,4,2008,0,0
4/30/2008,121,4,2008,0.01,0.254
5/1/2008,122,5,2008,0,0
5/2/2008,123,5,2008,0.39,9.906
5/3/2008,124,5,2008,0.02,0.508
5/4/2008,125,5,2008,0,0
5/5/2008,126,5,2008,0,0
5/6/2008,127,5,2008,1,25.4
5/7/2008,128,5,2008,0.13,3.302
5/8/2008,129,5,2008,0.01,0.254
5/9/2008,130,5,2008,0.06,1.524
5/10/2008,131,5,2008,0.26,6.604
5/11/2008,132,5,2008,0.01,0.254
5/12/2008,133,5,2008,0.01,0.254
5/13/2008,134,5,2008,0.01,0.254
5/14/2008,135,5,2008,0,0
5/15/2008,136,5,2008,0,0
5/16/2008,137,5,2008,0,0
5/17/2008,138,5,2008,0,0
5/18/2008,139,5,2008,0,0
5/19/2008,140,5,2008,0.06,1.524
5/20/2008,141,5,2008,0.01,0.254
5/21/2008,142,5,2008,0.01,0.254
5/22/2008,143,5,2008,0.04,1.016
5/23/2008,144,5,2008,0.82,20.828
5/24/2008,145,5,2008,0.05,1.27
5/25/2008,146,5,2008,0.09,2.286
5/26/2008,147,5,2008,0,0
5/27/2008,148,5,2008,0.34,8.636
5/28/2008,149,5,2008,0.01,0.254
5/29/2008,150,5,2008,1.51,38.354
5/30/2008,151,5,2008,1.22,30.988
5/31/2008,152,5,2008,0,0
6/1/2008,153,6,2008,0,0
6/2/2008,154,6,2008,0.45,11.43
6/3/2008,155,6,2008,0.71,18.034
6/4/2008,156,6,2008,0.03,0.762
6/5/2008,157,6,2008,0.64,16.256
6/6/2008,158,6,2008,0.39,9.906
6/7/2008,159,6,2008,0,0
6/8/2008,160,6,2008,0.68,17.272
6/9/2008,161,6,2008,0.08,2.032
6/10/2008,162,6,2008,0.01,0.254
6/11/2008,163,6,2008,1.11,28.194
6/12/2008,164,6,2008,0.53,13.462
6/13/2008,165,6,2008,0,0
6/14/2008,166,6,2008,0,0
6/15/2008,167,6,2008,0.02,0.508
6/16/2008,168,6,2008,0,0
6/17/2008,169,6,2008,0,0
6/18/2008,170,6,2008,0,0
6/19/2008,171,6,2008,0,0
6/20/2008,172,6,2008,0,0
6/21/2008,173,6,2008,0.16,4.064
6/22/2008,174,6,2008,0,0
6/23/2008,175,6,2008,0,0
6/24/2008,176,6,2008,0,0
6/25/2008,177,6,2008,0,0
6/26/2008,178,6,2008,2.94,74.676
6/27/2008,179,6,2008,0.06,1.524
6/28/2008,180,6,2008,0.02,0.508
6/29/2008,181,6,2008,0,0
6/30/2008,182,6,2008,0,0
7/1/2008,183,7,2008,0,0
7/2/2008,184,7,2008,0,0
7/3/2008,185,7,2008,0,0
7/4/2008,186,7,2008,0,0
7/5/2008,187,7,2008,0,0
7/6/2008,188,7,2008,0.08,2.032
7/7/2008,189,7,2008,0.32,8.128
7/8/2008,190,7,2008,0.3,7.62
7/9/2008,191,7,2008,0.02,0.508
7/10/2008,192,7,2008,0.17,4.318
7/11/2008,193,7,2008,0,0
7/12/2008,194,7,2008,0.3,7.62
7/13/2008,195,7,2008,0,0
7/14/2008,196,7,2008,0.01,0.254
7/15/2008,197,7,2008,0.01,0.254
7/16/2008,198,7,2008,0,0
7/17/2008,199,7,2008,1.24,31.496
7/18/2008,200,7,2008,0.01,0.254
7/19/2008,201,7,2008,0.6,15.24
7/20/2008,202,7,2008,0,0
7/21/2008,203,7,2008,1.02,25.908
7/22/2008,204,7,2008,0,0
7/23/2008,205,7,2008,0.16,4.064
7/24/2008,206,7,2008,0.87,22.098
7/25/2008,207,7,2008,0,0
7/26/2008,208,7,2008,0,0
7/27/2008,209,7,2008,1.17,29.718
7/28/2008,210,7,2008,0.08,2.032
7/29/2008,211,7,2008,0.24,6.096
7/30/2008,212,7,2008,0,0
7/31/2008,213,7,2008,0,0
8/1/2008,214,8,2008,0,0
8/2/2008,215,8,2008,0,0
8/3/2008,216,8,2008,0,0
8/4/2008,217,8,2008,0.02,0.508
8/5/2008,218,8,2008,0,0
8/6/2008,219,8,2008,0,0
8/7/2008,220,8,2008,0,0
8/8/2008,221,8,2008,0,0
8/9/2008,222,8,2008,0,0
8/10/2008,223,8,2008,0,0
8/11/2008,224,8,2008,0,0
8/12/2008,225,8,2008,0.2,5.08
8/13/2008,226,8,2008,0.16,4.064
8/14/2008,227,8,2008,0.14,3.556
8/15/2008,228,8,2008,0,0
8/16/2008,229,8,2008,0,0
8/17/2008,230,8,2008,0,0
8/18/2008,231,8,2008,0,0
8/19/2008,232,8,2008,0,0
8/20/2008,233,8,2008,0,0
8/21/2008,234,8,2008,0.02,0.508
8/22/2008,235,8,2008,0.01,0.254
8/23/2008,236,8,2008,0.02,0.508
8/24/2008,237,8,2008,0.01,0.254
8/25/2008,238,8,2008,0,0
8/26/2008,239,8,2008,0,0
8/27/2008,240,8,2008,0.23,5.842
8/28/2008,241,8,2008,0.64,16.256
8/29/2008,242,8,2008,0,0
8/30/2008,243,8,2008,0,0
8/31/2008,244,8,2008,0,0
9/1/2008,245,9,2008,0,0
9/2/2008,246,9,2008,0.02,0.508
9/3/2008,247,9,2008,0.04,1.016
9/4/2008,248,9,2008,0.03,0.762
9/5/2008,249,9,2008,0.02,0.508
9/6/2008,250,9,2008,0.01,0.254
9/7/2008,251,9,2008,0,0
9/8/2008,252,9,2008,0.2,5.08
9/9/2008,253,9,2008,0.01,0.254
9/10/2008,254,9,2008,0,0
9/11/2008,255,9,2008,0.39,9.906
9/12/2008,256,9,2008,0.33,8.382
9/13/2008,257,9,2008,0.04,1.016
9/14/2008,258,9,2008,0,0
9/15/2008,259,9,2008,0,0
9/16/2008,260,9,2008,0,0
9/17/2008,261,9,2008,0,0
9/18/2008,262,9,2008,0,0
9/19/2008,263,9,2008,0,0
9/20/2008,264,9,2008,0,0
9/21/2008,265,9,2008,0,0
9/22/2008,266,9,2008,0.08,2.032
9/23/2008,267,9,2008,0.37,9.398
9/24/2008,268,9,2008,0.16,4.064
9/25/2008,269,9,2008,0,0
9/26/2008,270,9,2008,0,0
9/27/2008,271,9,2008,0.02,0.508
9/28/2008,272,9,2008,0.01,0.254
9/29/2008,273,9,2008,0.74,18.796
9/30/2008,274,9,2008,0.01,0.254
10/1/2008,275,10,2008,0.01,0.254
10/2/2008,276,10,2008,0.01,0.254
10/3/2008,277,10,2008,0,0
10/4/2008,278,10,2008,0,0
10/5/2008,279,10,2008,0,0
10/6/2008,280,10,2008,0.43,10.922
10/7/2008,281,10,2008,0.37,9.398
10/8/2008,282,10,2008,0.03,0.762
10/9/2008,283,10,2008,0,0
10/10/2008,284,10,2008,0,0
10/11/2008,285,10,2008,0,0
10/12/2008,286,10,2008,0,0
10/13/2008,287,10,2008,0.13,3.302
10/14/2008,288,10,2008,0.18,4.572
10/15/2008,289,10,2008,0.43,10.922
10/16/2008,290,10,2008,0.02,0.508
10/17/2008,291,10,2008,0.11,2.794
10/18/2008,292,10,2008,0,0
10/19/2008,293,10,2008,0,0
10/20/2008,294,10,2008,0,0
10/21/2008,295,10,2008,0.06,1.524
10/22/2008,296,10,2008,0.49,12.446
10/23/2008,297,10,2008,0.19,4.826
10/24/2008,298,10,2008,0.27,6.858
10/25/2008,299,10,2008,0,0
10/26/2008,300,10,2008,0.07,1.778
10/27/2008,301,10,2008,0,0
10/28/2008,302,10,2008,0,0
10/29/2008,303,10,2008,0,0
10/30/2008,304,10,2008,0,0
10/31/2008,305,10,2008,0,0
11/1/2008,306,11,2008,0,0
11/2/2008,307,11,2008,0,0
11/3/2008,308,11,2008,0,0
11/4/2008,309,11,2008,0,0
11/5/2008,310,11,2008,0.61,15.494
11/6/2008,311,11,2008,0.35,8.89
11/7/2008,312,11,2008,0.05,1.27
11/8/2008,313,11,2008,0,0
11/9/2008,314,11,2008,0,0
11/10/2008,315,11,2008,0,0
11/11/2008,316,11,2008,0.41,10.414
11/12/2008,317,11,2008,0,0
11/13/2008,318,11,2008,0.11,2.794
11/14/2008,319,11,2008,0.16,4.064
11/15/2008,320,11,2008,0,0
11/16/2008,321,11,2008,0,0
11/17/2008,322,11,2008,0,0
11/18/2008,323,11,2008,0,0
11/19/2008,324,11,2008,0,0
11/20/2008,325,11,2008,0,0
11/21/2008,326,11,2008,0,0
11/22/2008,327,11,2008,0.03,0.762
11/23/2008,328,11,2008,0.04,1.016
11/24/2008,329,11,2008,0,0
11/25/2008,330,11,2008,0,0
11/26/2008,331,11,2008,0,0
11/27/2008,332,11,2008,0,0
11/28/2008,333,11,2008,0,0
11/29/2008,334,11,2008,0.04,1.016
11/30/2008,335,11,2008,0,0
12/1/2008,336,12,2008,0,0
12/2/2008,337,12,2008,0.05,1.27
12/3/2008,338,12,2008,0,0
12/4/2008,339,12,2008,0,0
12/5/2008,340,12,2008,0,0
12/6/2008,341,12,2008,0,0
12/7/2008,342,12,2008,0,0
12/8/2008,343,12,2008,0.03,0.762
12/9/2008,344,12,2008,0.01,0.254
12/10/2008,345,12,2008,0,0
12/11/2008,346,12,2008,0.02,0.508
12/12/2008,347,12,2008,0,0
12/13/2008,348,12,2008,0,0
12/14/2008,349,12,2008,0,0
12/15/2008,350,12,2008,0,0
12/16/2008,351,12,2008,0.03,0.762
12/17/2008,352,12,2008,0,0
12/18/2008,353,12,2008,0.14,3.556
12/19/2008,354,12,2008,0.19,4.826
12/20/2008,355,12,2008,0,0
12/21/2008,356,12,2008,0,0
12/22/2008,357,12,2008,0.02,0.508
12/23/2008,358,12,2008,0,0
12/24/2008,359,12,2008,0.02,0.508
12/25/2008,360,12,2008,0.01,0.254
12/26/2008,361,12,2008,0.31,7.874
12/27/2008,362,12,2008,0.03,0.762
12/28/2008,363,12,2008,0.01,0.254
12/29/2008,364,12,2008,0,0
12/30/2008,365,12,2008,0,0
12/31/2008,366,12,2008,0,0
1/1/2009,1,1,2009,0,0
1/2/2009,2,1,2009,0,0
1/3/2009,3,1,2009,0,0
1/4/2009,4,1,2009,0,0
1/5/2009,5,1,2009,0,0
1/6/2009,6,1,2009,0,0
1/7/2009,7,1,2009,0,0
1/8/2009,8,1,2009,0,0
1/9/2009,9,1,2009,0.07,1.778
1/10/2009,10,1,2009,0.05,1.27
1/11/2009,11,1,2009,0.02,0.508
1/12/2009,12,1,2009,0.05,1.27
1/13/2009,13,1,2009,0.03,0.762
1/14/2009,14,1,2009,0,0
1/15/2009,15,1,2009,0,0
1/16/2009,16,1,2009,0,0
1/17/2009,17,1,2009,0,0
1/18/2009,18,1,2009,0,0
1/19/2009,19,1,2009,0,0
1/20/2009,20,1,2009,0,0
1/21/2009,21,1,2009,0,0
1/22/2009,22,1,2009,0.02,0.508
1/23/2009,23,1,2009,0,0
1/24/2009,24,1,2009,0.02,0.508
1/25/2009,25,1,2009,0.04,1.016
1/26/2009,26,1,2009,0,0
1/27/2009,27,1,2009,0.01,0.254
1/28/2009,28,1,2009,0,0
1/29/2009,29,1,2009,0,0
1/30/2009,30,1,2009,0,0
1/31/2009,31,1,2009,0.04,1.016
2/1/2009,32,2,2009,0,0
2/2/2009,33,2,2009,0,0
2/3/2009,34,2,2009,0,0
2/4/2009,35,2,2009,0,0
2/5/2009,36,2,2009,0,0
2/6/2009,37,2,2009,0,0
2/7/2009,38,2,2009,0,0
2/8/2009,39,2,2009,0,0
2/9/2009,40,2,2009,0.06,1.524
2/10/2009,41,2,2009,0,0
2/11/2009,42,2,2009,0,0
2/12/2009,43,2,2009,0,0
2/13/2009,44,2,2009,0.06,1.524
2/14/2009,45,2,2009,0.02,0.508
2/15/2009,46,2,2009,0,0
2/16/2009,47,2,2009,0,0
2/17/2009,48,2,2009,0.01,0.254
2/18/2009,49,2,2009,0.02,0.508
2/19/2009,50,2,2009,0,0
2/20/2009,51,2,2009,0.01,0.254
2/21/2009,52,2,2009,0.01,0.254
2/22/2009,53,2,2009,0,0
2/23/2009,54,2,2009,0,0
2/24/2009,55,2,2009,0,0
2/25/2009,56,2,2009,0.01,0.254
2/26/2009,57,2,2009,0.06,1.524
2/27/2009,58,2,2009,0,0
2/28/2009,59,2,2009,0.02,0.508
3/1/2009,60,3,2009,0,0
3/2/2009,61,3,2009,0,0
3/3/2009,62,3,2009,0,0
3/4/2009,63,3,2009,0,0
3/5/2009,64,3,2009,0,0
3/6/2009,65,3,2009,0,0
3/7/2009,66,3,2009,0.71,18.034
3/8/2009,67,3,2009,0.87,22.098
3/9/2009,68,3,2009,0.08,2.032
3/10/2009,69,3,2009,0.13,3.302
3/11/2009,70,3,2009,0,0
3/12/2009,71,3,2009,0,0
3/13/2009,72,3,2009,0,0
3/14/2009,73,3,2009,0,0
3/15/2009,74,3,2009,0,0
3/16/2009,75,3,2009,0,0
3/17/2009,76,3,2009,0,0
3/18/2009,77,3,2009,0,0
3/19/2009,78,3,2009,0,0
3/20/2009,79,3,2009,0,0
3/21/2009,80,3,2009,0,0
3/22/2009,81,3,2009,0,0
3/23/2009,82,3,2009,0.97,24.638
3/24/2009,83,3,2009,0.73,18.542
3/25/2009,84,3,2009,0,0
3/26/2009,85,3,2009,0,0
3/27/2009,86,3,2009,0,0
3/28/2009,87,3,2009,0.01,0.254
3/29/2009,88,3,2009,0,0
3/30/2009,89,3,2009,0.01,0.254
3/31/2009,90,3,2009,0.05,1.27
4/1/2009,91,4,2009,0,0
4/2/2009,92,4,2009,0,0
4/3/2009,93,4,2009,0.01,0.254
4/4/2009,94,4,2009,0.28,7.112
4/5/2009,95,4,2009,0.4,10.16
4/6/2009,96,4,2009,0.12,3.048
4/7/2009,97,4,2009,0,0
4/8/2009,98,4,2009,0,0
4/9/2009,99,4,2009,0,0
4/10/2009,100,4,2009,0,0
4/11/2009,101,4,2009,0.03,0.762
4/12/2009,102,4,2009,0.03,0.762
4/13/2009,103,4,2009,0.13,3.302
4/14/2009,104,4,2009,0,0
4/15/2009,105,4,2009,0,0
4/16/2009,106,4,2009,0.01,0.254
4/17/2009,107,4,2009,0.01,0.254
4/18/2009,108,4,2009,0.03,0.762
4/19/2009,109,4,2009,0,0
4/20/2009,110,4,2009,0,0
4/21/2009,111,4,2009,0,0
4/22/2009,112,4,2009,0.05,1.27
4/23/2009,113,4,2009,0.03,0.762
4/24/2009,114,4,2009,0.07,1.778
4/25/2009,115,4,2009,0.14,3.556
4/26/2009,116,4,2009,2.18,55.372
4/27/2009,117,4,2009,0.45,11.43
4/28/2009,118,4,2009,0,0
4/29/2009,119,4,2009,0.08,2.032
4/30/2009,120,4,2009,0,0
5/1/2009,121,5,2009,0.03,0.762
5/2/2009,122,5,2009,0,0
5/3/2009,123,5,2009,0,0
5/4/2009,124,5,2009,0,0
5/5/2009,125,5,2009,0.02,0.508
5/6/2009,126,5,2009,0.02,0.508
5/7/2009,127,5,2009,0.04,1.016
5/8/2009,128,5,2009,0.06,1.524
5/9/2009,129,5,2009,0,0
5/10/2009,130,5,2009,0,0
5/11/2009,131,5,2009,0,0
5/12/2009,132,5,2009,0.2,5.08
5/13/2009,133,5,2009,0.21,5.334
5/14/2009,134,5,2009,0.01,0.254
5/15/2009,135,5,2009,0.2,5.08
5/16/2009,136,5,2009,0,0
5/17/2009,137,5,2009,0.11,2.794
5/18/2009,138,5,2009,0,0
5/19/2009,139,5,2009,0,0
5/20/2009,140,5,2009,0,0
5/21/2009,141,5,2009,0,0
5/22/2009,142,5,2009,0,0
5/23/2009,143,5,2009,0,0
5/24/2009,144,5,2009,0,0
5/25/2009,145,5,2009,0.14,3.556
5/26/2009,146,5,2009,1.81,45.974
5/27/2009,147,5,2009,0.04,1.016
5/28/2009,148,5,2009,0,0
5/29/2009,149,5,2009,0,0
5/30/2009,150,5,2009,0,0
5/31/2009,151,5,2009,0.2,5.08
6/1/2009,152,6,2009,0.04,1.016
6/2/2009,153,6,2009,0.09,2.286
6/3/2009,154,6,2009,0,0
6/4/2009,155,6,2009,0,0
6/5/2009,156,6,2009,0,0
6/6/2009,157,6,2009,0.52,13.208
6/7/2009,158,6,2009,0.08,2.032
6/8/2009,159,6,2009,0.08,2.032
6/9/2009,160,6,2009,0.04,1.016
6/10/2009,161,6,2009,0,0
6/11/2009,162,6,2009,0,0
6/12/2009,163,6,2009,0.35,8.89
6/13/2009,164,6,2009,0.07,1.778
6/14/2009,165,6,2009,0,0
6/15/2009,166,6,2009,0,0
6/16/2009,167,6,2009,0.01,0.254
6/17/2009,168,6,2009,0.02,0.508
6/18/2009,169,6,2009,0.69,17.526
6/19/2009,170,6,2009,0.23,5.842
6/20/2009,171,6,2009,0,0
6/21/2009,172,6,2009,0.99,25.146
6/22/2009,173,6,2009,0,0
6/23/2009,174,6,2009,0.15,3.81
6/24/2009,175,6,2009,0,0
6/25/2009,176,6,2009,0,0
6/26/2009,177,6,2009,0,0
6/27/2009,178,6,2009,0,0
6/28/2009,179,6,2009,0,0
6/29/2009,180,6,2009,0,0
6/30/2009,181,6,2009,0,0
7/1/2009,182,7,2009,0,0
7/2/2009,183,7,2009,0,0
7/3/2009,184,7,2009,0.13,3.302
7/4/2009,185,7,2009,0.5,12.7
7/5/2009,186,7,2009,0,0
7/6/2009,187,7,2009,0,0
7/7/2009,188,7,2009,0.38,9.652
7/8/2009,189,7,2009,0.38,9.652
7/9/2009,190,7,2009,0.14,3.556
7/10/2009,191,7,2009,0.25,6.35
7/11/2009,192,7,2009,0,0
7/12/2009,193,7,2009,0.03,0.762
7/13/2009,194,7,2009,0,0
7/14/2009,195,7,2009,0.09,2.286
7/15/2009,196,7,2009,0.01,0.254
7/16/2009,197,7,2009,0,0
7/17/2009,198,7,2009,0,0
7/18/2009,199,7,2009,0,0
7/19/2009,200,7,2009,0,0
7/20/2009,201,7,2009,0.06,1.524
7/21/2009,202,7,2009,0.22,5.588
7/22/2009,203,7,2009,0,0
7/23/2009,204,7,2009,0,0
7/24/2009,205,7,2009,0,0
7/25/2009,206,7,2009,0,0
7/26/2009,207,7,2009,0,0
7/27/2009,208,7,2009,0,0
7/28/2009,209,7,2009,0,0
7/29/2009,210,7,2009,0.02,0.508
7/30/2009,211,7,2009,0.05,1.27
7/31/2009,212,7,2009,0,0
8/1/2009,213,8,2009,0.02,0.508
8/2/2009,214,8,2009,0,0
8/3/2009,215,8,2009,0.14,3.556
8/4/2009,216,8,2009,0,0
8/5/2009,217,8,2009,0,0
8/6/2009,218,8,2009,0,0
8/7/2009,219,8,2009,0.46,11.684
8/8/2009,220,8,2009,0,0
8/9/2009,221,8,2009,0.43,10.922
8/10/2009,222,8,2009,0,0
8/11/2009,223,8,2009,0,0
8/12/2009,224,8,2009,0,0
8/13/2009,225,8,2009,0,0
8/14/2009,226,8,2009,0,0
8/15/2009,227,8,2009,0.25,6.35
8/16/2009,228,8,2009,0.11,2.794
8/17/2009,229,8,2009,0,0
8/18/2009,230,8,2009,0,0
8/19/2009,231,8,2009,0.81,20.574
8/20/2009,232,8,2009,0.25,6.35
8/21/2009,233,8,2009,0,0
8/22/2009,234,8,2009,0,0
8/23/2009,235,8,2009,0,0
8/24/2009,236,8,2009,0,0
8/25/2009,237,8,2009,0,0
8/26/2009,238,8,2009,0.54,13.716
8/27/2009,239,8,2009,0.08,2.032
8/28/2009,240,8,2009,0,0
8/29/2009,241,8,2009,0,0
8/30/2009,242,8,2009,0,0
8/31/2009,243,8,2009,0,0
9/1/2009,244,9,2009,0,0
9/2/2009,245,9,2009,0,0
9/3/2009,246,9,2009,0,0
9/4/2009,247,9,2009,0,0
9/5/2009,248,9,2009,0,0
9/6/2009,249,9,2009,0,0
9/7/2009,250,9,2009,0,0
9/8/2009,251,9,2009,0,0
9/9/2009,252,9,2009,0,0
9/10/2009,253,9,2009,0,0
9/11/2009,254,9,2009,0,0
9/12/2009,255,9,2009,0,0
9/13/2009,256,9,2009,0,0
9/14/2009,257,9,2009,0,0
9/15/2009,258,9,2009,0,0
9/16/2009,259,9,2009,0,0
9/17/2009,260,9,2009,0,0
9/18/2009,261,9,2009,0,0
9/19/2009,262,9,2009,0,0
9/20/2009,263,9,2009,0,0
9/21/2009,264,9,2009,0.34,8.636
9/22/2009,265,9,2009,0,0
9/23/2009,266,9,2009,0,0
9/24/2009,267,9,2009,0.13,3.302
9/25/2009,268,9,2009,0.41,10.414
9/26/2009,269,9,2009,0.05,1.27
9/27/2009,270,9,2009,0,0
9/28/2009,271,9,2009,0,0
9/29/2009,272,9,2009,0,0
9/30/2009,273,9,2009,0.01,0.254
10/1/2009,274,10,2009,0.57,14.478
10/2/2009,275,10,2009,0.39,9.906
10/3/2009,276,10,2009,0,0
10/4/2009,277,10,2009,0,0
10/5/2009,278,10,2009,0,0
10/6/2009,279,10,2009,0.1,2.54
10/7/2009,280,10,2009,0,0
10/8/2009,281,10,2009,0.16,4.064
10/9/2009,282,10,2009,0,0
10/10/2009,283,10,2009,0,0
10/11/2009,284,10,2009,0,0
10/12/2009,285,10,2009,0.01,0.254
10/13/2009,286,10,2009,0.03,0.762
10/14/2009,287,10,2009,0.09,2.286
10/15/2009,288,10,2009,0.1,2.54
10/16/2009,289,10,2009,0.01,0.254
10/17/2009,290,10,2009,0.01,0.254
10/18/2009,291,10,2009,0,0
10/19/2009,292,10,2009,0,0
10/20/2009,293,10,2009,0,0
10/21/2009,294,10,2009,0.11,2.794
10/22/2009,295,10,2009,2.07,52.578
10/23/2009,296,10,2009,0.25,6.35
10/24/2009,297,10,2009,0.05,1.27
10/25/2009,298,10,2009,0.01,0.254
10/26/2009,299,10,2009,0,0
10/27/2009,300,10,2009,0,0
10/28/2009,301,10,2009,0,0
10/29/2009,302,10,2009,1.45,36.83
10/30/2009,303,10,2009,0.02,0.508
10/31/2009,304,10,2009,0,0
11/1/2009,305,11,2009,0,0
11/2/2009,306,11,2009,0,0
11/3/2009,307,11,2009,0,0
11/4/2009,308,11,2009,0,0
11/5/2009,309,11,2009,0,0
11/6/2009,310,11,2009,0,0
11/7/2009,311,11,2009,0,0
11/8/2009,312,11,2009,0,0
11/9/2009,313,11,2009,0,0
11/10/2009,314,11,2009,0,0
11/11/2009,315,11,2009,0,0
11/12/2009,316,11,2009,0,0
11/13/2009,317,11,2009,0,0
11/14/2009,318,11,2009,0,0
11/15/2009,319,11,2009,0,0
11/16/2009,320,11,2009,0.01,0.254
11/17/2009,321,11,2009,0,0
11/18/2009,322,11,2009,0.04,1.016
11/19/2009,323,11,2009,0,0
11/20/2009,324,11,2009,0,0
11/21/2009,325,11,2009,0,0
11/22/2009,326,11,2009,0.02,0.508
11/23/2009,327,11,2009,0,0
11/24/2009,328,11,2009,0.97,24.638
11/25/2009,329,11,2009,0.07,1.778
11/26/2009,330,11,2009,0,0
11/27/2009,331,11,2009,0,0
11/28/2009,332,11,2009,0,0
11/29/2009,333,11,2009,0,0
11/30/2009,334,11,2009,0,0
12/1/2009,335,12,2009,0,0
12/2/2009,336,12,2009,0,0
12/3/2009,337,12,2009,0,0
12/4/2009,338,12,2009,0,0
12/5/2009,339,12,2009,0,0
12/6/2009,340,12,2009,0.02,0.508
12/7/2009,341,12,2009,0,0
12/8/2009,342,12,2009,0.27,6.858
12/9/2009,343,12,2009,0.14,3.556
