PlotNo,Field,Block,Treatment,LevelStoverHarvest,Tillage,InitialCroppingSystem,EndingCropRotation,EndingCroppingSystem,Crop2017,Grain2008,Stover2008,Grain2009,Stover2009,Grain2010,Stover2010,Grain2011,Stover2011,Grain2012,Stover2012,Grain2013,Stover2013,Grain2014,Stover2014,Grain2015,Stover2015,Grain2016,Stover2016,Grain2017,Stover2017,Grain2018,Stover2018,Grain2019,Stover2019,Grain2020,Stover2020
105,71,1,9,Moderate,Chisel,Twin-Row Corn ,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,Corn-Alfalfa,Corn,178.9,2.89,189,1.79,193.1,1.11,177.5,2.03,136.9,2.21,,,,,,,209.8,1.68,189.9,0.98,, ,,,,
217,71,2,9,Moderate,Chisel,Twin-Row Corn ,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,Corn-Alfalfa,Corn,182,2.71,187.1,1.8,192.7,1.44,177.7,1.79,160.5,1.97,,,,,,,189.1,1.1,209.7,1.18,, ,,,,
309,70,3,9,Moderate,Chisel,Twin-Row Corn ,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,Corn-Alfalfa,Corn,188.9,2.88,199.1,1.94,212.3,1.5,187.5,2.16,113.1,1.86,,,,,,,208.6,1.34,201.4,1.22,, ,,,,
401,70,4,9,Moderate,Chisel,Twin-Row Corn ,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,Corn-Alfalfa,Corn,175.7,2.59,196.7,1.78,215.1,1.58,173.9,1.62,143.9,1.37,,,,,,,191.9,1.22,211.7,1.07,, ,,,,
108,71,1,10,Moderate,No-till,Twin-Row Corn ,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,183.2,2.87,189.4,2.73,194.5,1.83,179.7,2.13,157.3,2.11,154.9,0.99,166.68,1.29,,,,,178,1.08,, ,,,213.2,1.49
221,71,2,10,Moderate,No-till,Twin-Row Corn ,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,169.3,2.95,182.4,2.57,193.1,1.74,178.6,1.96,144.6,0.97,163.7,2,175.16,1.47,,,,,171.1,0.82,, ,,,213.6,1.58
317,70,3,10,Moderate,No-till,Twin-Row Corn ,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,185.7,2.82,184.9,1.83,209.5,2.65,182.8,1.61,123.4,1.26,157.2,0.98,168.82,1.73,,,,,170.1,1.1,, ,,,203.5,1.51
410,70,4,10,Moderate,No-till,Twin-Row Corn ,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,188.8,2.67,197.3,2.73,206.9,1.74,188.4,1.74,160.1,1.42,161.3,1.65,173.7,1.27,,,,,199,1.04,, ,,,179.6,1.36
118,71,1,11,High,Chisel,Twin-Row Corn ,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,Corn-Alfalfa,Alfalfa,181.1,3.54,201.6,3.69,202.8,2.17,167.6,2.52,134.4,2.9,,,,,200.2,,181.5,0.9,,,, ,,,218.8,2.08
220,71,2,11,High,Chisel,Twin-Row Corn ,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,Corn-Alfalfa,Alfalfa,190.5,3.09,190.2,3.48,187,1.99,177.1,2.29,152.4,2.22,,,,,204.6,,184,0.89,,,, ,,,180.5,2.26
313,70,3,11,High,Chisel,Twin-Row Corn ,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,Corn-Alfalfa,Alfalfa,199.6,3.18,184.6,2.82,201.6,2.7,161.1,2.96,134.9,2.03,,,,,195.4,,204.8,1.09,,,, ,,,170.8,1.83
404,70,4,11,High,Chisel,Twin-Row Corn ,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,Corn-Alfalfa,Alfalfa,184.3,2.8,190.3,3.07,215.1,2.91,173.3,3.01,162,2.38,,,,,181.9,,201.4,1.39,,,, ,,,189.4,1.92
121,71,1,12,High,No-till,Twin-Row Corn ,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,184.3,3.53,187.6,3.18,203.6,2.11,179.4,2.68,155.9,2.18,161.7,2.24,180.09,2.24,200.6,2.74,,,,1.07,235,1.46,,,,
212,71,2,12,High,No-till,Twin-Row Corn ,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,185,3.29,180,2.35,188.6,2.44,174.3,2.88,142.9,2.26,146.7,3.19,174.67,1.74,202.2,3.15,,,,0.87,217.6,1.74,,,,
314,70,3,12,High,No-till,Twin-Row Corn ,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,182,3.23,183.7,3.05,206.5,2,161.3,4.66,133.5,2.61,163.9,2.53,190.77,1.95,196.9,3.31,,,,1.02,229.5,1.66,,,,
421,70,4,12,High,No-till,Twin-Row Corn ,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,164.2,2.39,151.6,2.66,212.1,1.2,186.5,2.67,154.4,2.55,161.2,3.04,177.16,1.77,210.7,3.72,,,,0.96,185.7,1.09,,,,
103,71,1,13,None,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,166,0,123.9,0,162.4,0,174.8,0,110.5,0,112.2,0,144,0,196.4,0,190.3,0,174.4,0,197.7,0,131.4,0,182.7,0
202,71,2,13,None,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,182.5,0,136.1,0,195.4,0,181.2,0,121.5,0,157.8,0,175.43,0,195.4,0,197.2,0,213.3,0,222.8,0,207,0,205.3,0
320,70,3,13,None,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,178.6,0,148.2,0,194.6,0,179.5,0,114.1,0,142,0,174.67,0,187.6,0,200.5,0,190.5,0,216.8,0,207.7,0,165.3,0
419,70,4,13,None,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,178.9,0,135.3,0,184.6,0,166.5,0,131.2,0,141.6,0,169.38,0,191.5,0,197.9,0,213.2,0,215.7,0,217.8,0,177.6,0
117,71,1,14,None,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,166.4,0,164,0,194.4,0,173.5,0,128.3,0,141,0,180.9,0,188.3,0,204.3,0,201.9,0,224.7,0,211.3,0,180,0
216,71,2,14,None,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,177.9,0,139,0,198,0,181,0,157.9,0,149.1,0,174.81,0,206.6,0,198,0,203.7,0,230.8,0,212.3,0,205.1,0
315,70,3,14,None,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,168.4,0,152.7,0,205.1,0,184.7,0,139.1,0,152.6,0,174.88,0,197.2,0,201.9,0,204.4,0,244,0,217.4,0,187.8,0
413,70,4,14,None,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,181.2,0,169.3,0,209.7,0,178.1,0,142.9,0,159.8,0,186.98,0,197.5,0,199.8,0,207.9,0,251.7,0,212.8,0,207.6,0
107,71,1,15,Moderate,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,169.6,2.56,195.6,2.78,202,1.64,179.8,2.08,145.3,1.01,152.6,1.76,177.38,1.58,206.4,2.05,197.5,1.26,174,1.04,215,1.72,218.7,2.36,193.8,1.79
211,71,2,15,Moderate,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,177.7,2.7,194.3,1.91,208.4,1.46,174.6,1.62,145.8,1.29,161.7,0.93,175.64,1.8,194.7,1.42,193.8,1,203.8,1.03,235.8,1.56,209.8,1.93,191.4,2.31
301,70,3,15,Moderate,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,176.5,2.15,194.7,2.59,213.5,1.31,188.5,1.72,154.2,1.5,160.9,1.62,188.21,1.12,185.9,1.45,198.5,1.08,196.7,1,223.5,1.63,223.8,9.81,192,2.14
418,70,4,15,Moderate,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,179.4,2.62,196.1,1.57,208.6,1.69,188.1,1.79,137.7,1.62,175.6,0.78,190.89,1.67,206.4,2.22,198.5,1.05,208.2,1.13,223.4,1.82,221.8,2.39,162.3,1.93
104,71,1,16,Moderate,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,164.4,2.34,174.4,1.83,193.4,1.51,175.3,1.81,136.8,1.34,138.8,1.15,190.69,1.35,196.9,2.61,200.4,1.04,179.3,0.7,199.3,1.84,199.4,2.06,183.6,1.76
204,71,2,16,Moderate,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,174.2,2.74,191.3,2.45,209.8,1.36,174.8,1.85,128.6,1.27,150.2,1.25,182.79,1.56,200.7,1.65,197.5,1.01,205,0.77,227.7,1.33,207.7,2.3,187.8,1.86
319,70,3,16,Moderate,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,169.9,2.08,187.6,1.64,203.1,1.24,182.4,1.5,134.7,1.53,167.8,1.8,185.25,3.08,193.9,1.74,203.8,1.15,209.3,1.11,213.2,1.48,210.8,1.84,174.3,1.61
403,70,4,16,Moderate,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,175.9,3.08,199.7,3.06,212.4,2.9,177.6,1.64,177.6,1.8,164.3,1.74,211.83,1.1,205,1.92,198.2,0.92,206.8,0.85,240.2,1.83,216.7,2.27,181.2,2
109,71,1,17,High,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,182.7,2.95,198.8,2.86,213.6,2.39,185.3,2.67,172.1,2.01,151.8,2.14,194.89,2.09,196.1,2.23,202.7,1.36,178.7,0.93,239,1.89,225,2.71,197.8,2.07
210,71,2,17,High,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,178.5,2.75,185.4,3.55,205.5,2.14,171.1,2.5,131,1.89,149.7,2.18,194.46,2.16,194.9,3.22,187.5,1.01,192.9,1.06,245.6,1.79,221.5,14.1,182.3,1.83
311,70,3,17,High,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,179.3,2.86,205,2.48,218.5,2.63,183.4,3.52,82.5,1.45,138.4,2.97,189.97,2.04,207.4,3.65,191,1.35,189.9,1.25,224.7,1.91,230.4,3.1,146.6,1.4
407,70,4,17,High,Chisel,Continuous Corn with 4 t/acre BioChar,Continuous Corn with 4 t/acre BioChar,Continuous Corn,Corn,176.4,2.98,195.5,2.95,219.7,2.07,183.2,2.44,169.8,2.4,171.1,2.48,192.5,2.19,207,3.21,196.2,1.47,222.2,1.08,231.1,1.93,223,2.49,182.3,1.94
101,71,1,18,High,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,172.6,3.06,188.5,3.27,217.9,1.57,182,3.03,160,3.25,130.8,1.66,176.93,1.88,212.6,3.4,202.5,1.38,178.9,1.16,227.6,2.03,223.7,2.43,196.8,2.05
205,71,2,18,High,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,179.6,2.83,192.4,3.16,212.4,1.36,172.2,2.74,146.5,2.09,153.1,2.58,193.54,2.24,193.2,2.73,196.2,1.22,211.5,1.02,233.1,2.16,223.3,2.76,188.9,2.42
312,70,3,18,High,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,176.5,3.27,190,3.28,214.9,2.26,176.3,3.15,165.8,2.5,164.6,2.59,198.05,2.57,191.4,2.33,198.2,1.15,214.9,1.06,256.8,2.19,236.1,3.04,198.3,2.28
406,70,4,18,High,Chisel,Continuous Corn with 13 t/acre BioChar,Continuous Corn with 13 t/acre BioChar,Continuous Corn,Corn,174.8,2.88,205.6,3.13,213.4,2.55,182.9,2.47,161.4,2.41,165.8,2.92,188.88,2.41,184.4,2.9,195.6,1.38,205.7,1.33,224,1.9,223,2.26,184.1,2.03
112,71,1,19,Moderate,No-till,Corn + Annual Cover Crop,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,170.2,2.71,189.2,1.73,192,1.1,169.9,1.54,142,1.21,149,1.23,172.04,1.43,214.8,2.39,,,,,225,1.25,,,,
203,71,2,19,Moderate,No-till,Corn + Annual Cover Crop,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,168.5,2.82,170.1,1.95,189.8,0.91,169.6,1.48,127.8,1.1,153.8,0.95,169.6,1.17,193.3,1.69,,,,,199.9,1.28,,,,
302,70,3,19,Moderate,No-till,Corn + Annual Cover Crop,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,172.6,2.17,200.9,2.07,191.2,0.75,176.3,1.53,144.8,1.38,161.6,1.51,184.52,1.61,202.8,1.74,,,,,218.7,1.26,,,,
409,70,4,19,Moderate,No-till,Corn + Annual Cover Crop,Corn-Rye-Soy-Wheat/CC,Cover Crop,CoverCrop,169.8,2.81,164.2,1.76,207.4,1.72,180.7,1.51,158.3,2.03,139.8,0.93,178.2,1.48,213.3,1.87,,,,,222.2,1.18,,,,
113,71,1,20,High,No-till,Corn + Annual Cover Crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,174.2,3.18,189,2.38,210.6,2.15,178.9,2.28,120.6,2.45,156.9,2.05,187.8,2.01,,,237.1,1.35,,,,,221.5,2.5,,
214,71,2,20,High,No-till,Corn + Annual Cover Crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,168.2,2.98,196.9,2.97,206.9,1.62,175.1,2.91,162.4,2.72,153.7,1.93,189.35,2.12,,,170.2,0.89,,,,,213.1,1.89,,
308,70,3,20,High,No-till,Corn + Annual Cover Crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,175.2,2.94,203,3.66,211.5,2.66,181.2,2.52,116.9,2.71,157.8,2.97,191.11,2.04,,,188.9,1.01,,,,,231.4,2.13,,
416,70,4,20,High,No-till,Corn + Annual Cover Crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,177.7,2.67,199.9,2.97,216,2.47,188.8,2.69,165.6,2.57,169.8,3.4,195.27,2.45,,,189.1,1.27,,,,,237.3,2.25,,
102,71,1,21,Moderate,No-till,Corn with perennial cover crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,179.2,2.69,187.1,1.59,200.1,0.29,183.1,1.81,,,157.7,1.67,,,,,193.2,1.04,,,,,219.2,2.33,,
215,71,2,21,Moderate,No-till,Corn with perennial cover crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,177.4,2.95,185.1,1.87,202.5,0.94,181.5,1.92,,,159.2,2.21,,,,,150.1,0.54,,,,,215.6,1.84,,
306,70,3,21,Moderate,No-till,Corn with perennial cover crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,143.8,1.75,175.4,1.36,199.1,1.37,183.4,0.87,,,148.1,2.23,,,,,179.9,0.85,,,,,218.4,1.26,,
412,70,4,21,Moderate,No-till,Corn with perennial cover crop,Wheat/CC-Corn-Rye-Soy,Cover Crop,Soy,178.5,2.78,182.4,2.13,201.4,1.37,171.2,1.42,,,158.9,1.55,,,,,174.9,1.14,,,,,218.2,2.58,,
111,71,1,22,High,No-till,Corn with perennial cover crop,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,165.8,2.76,189.4,3.05,197.1,1.85,,,185.2,2.37,,,189.6,2.5,,,,,184.5,1.18,,,,,206.4,1.75
222,71,2,22,High,No-till,Corn with perennial cover crop,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,177.4,2.7,188.2,3.22,199.4,2.06,,,167.3,1.92,,,186.51,2.47,,,,,180,1.06,,,,,206.5,1.89
303,70,3,22,High,No-till,Corn with perennial cover crop,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,177.8,2.84,191.1,3.21,205.8,1.87,,,168.1,2.22,,,188.56,1.99,,,,,181.7,1.09,,,,,196.1,1.86
417,70,4,22,High,No-till,Corn with perennial cover crop,Rye-Soy-Wheat/CC-Corn,Cover Crop,Corn,168.4,2.54,188.4,3.31,222,2.24,,,176.5,2.2,,,189.6,2.61,,,,,196.1,0,,,,,213.7,1.93
